NMDS1	NMDS2	dclass	TaxLevel
-0.190587500568036	-0.117808621988881	T00C	Family
-0.193152404654142	-0.103388791904468	T00C	Family
-0.206670979431918	-0.0972741684481984	T00C	Family
-0.166278324713133	-0.0923867587827805	T00C	Family
-0.169697468869275	-0.124560449464315	T00C	Family
-0.185899050810978	-0.105797282205396	T00C	Family
-0.184244086552205	-0.123675819230703	T00C	Family
-0.156415601958918	-0.115561523055508	T00C	Family
-0.167260998193385	-0.132110505129073	T00C	Family
-0.185149597703567	-0.0941992827576698	T00C	Family
-0.185090737826813	-0.0991084756969167	T00C	Family
-0.195916446757173	-0.135991048222958	T00C	Family
-0.0764018325284305	-0.139159512773538	T00C	Family
-0.149693175374359	-0.106587877580973	T00C	Family
-0.195844358072001	-0.160377697336134	T00C	Family
-0.174607597799985	-0.120132839491859	T00C	Family
-0.104440929812096	-0.144344506538373	T00C	Family
-0.164764880559206	-0.127365108004728	T00C	Family
-0.178046026878654	-0.16608543996491	T00C	Family
-0.168790109131082	-0.102431086277487	T00C	Family
0.15275540251861	0.193416961717869	T05C	Family
0.0360038819496805	0.102889279594884	T05C	Family
0.023036922083402	0.02314150640441	T05C	Family
0.0951526310737793	0.271218610937682	T05C	Family
0.0521652702265949	0.0573376176391371	T05C	Family
0.050573224662129	0.136327843800431	T05C	Family
0.0292070882451718	0.0568816010866947	T05C	Family
0.104427127566021	0.164301823824578	T05C	Family
0.0136751816333118	0.00978517467574545	T05C	Family
0.00450736887234582	-0.00244846049224078	T05C	Family
0.0563884074455982	0.0819611756452847	T05C	Family
0.0165870188048805	0.0614146429863221	T05C	Family
0.0363843432168037	0.0602853436108253	T05C	Family
0.0496903281373406	0.045684283856951	T05C	Family
0.0645443788354086	0.109035725897547	T05C	Family
0.0234229702977319	0.0980749407058498	T05C	Family
-0.00315843354024536	0.095860123105423	T05C	Family
0.117156243676372	0.200919775159057	T05C	Family
0.0367503009007428	0.0687944067977196	T05C	Family
0.0992165309782135	0.170254373331324	T05C	Family
-0.069943643812881	0.0135708785411688	T05M	Family
-0.107839747904686	0.112601257708254	T05M	Family
-0.0660614089523875	0.0303769443838559	T05M	Family
-0.0835674649959803	0.0316508653701789	T05M	Family
-0.0864684496739584	0.0431435966734753	T05M	Family
-0.0983027527356613	0.00185227579501806	T05M	Family
-0.0712198540039386	0.133517920408022	T05M	Family
-0.103066882502231	0.0600252776177913	T05M	Family
-0.0797001719254984	0.0165371467241817	T05M	Family
-0.108045442803187	0.0083280424818533	T05M	Family
-0.105847382623764	0.0697582864062496	T05M	Family
-0.10252134849075	-0.00637500641561543	T05M	Family
-0.0813500918216236	0.0933455312706917	T05M	Family
-0.0496503135909374	0.26544407421241	T05M	Family
-0.0664229996886263	0.192846226389825	T05M	Family
-0.109867059138317	0.0263552714851484	T05M	Family
-0.0980834473834324	0.0523695690866787	T05M	Family
-0.127333180687938	0.0842487646329438	T05M	Family
-0.0780751442252588	0.0624253881073631	T05M	Family
-0.103358594191923	0.0542149493772463	T05M	Family
0.353043450950799	0.0518405007214463	T12C	Family
0.43068615920126	0.0842661913753446	T12C	Family
0.133477976118961	-0.0473235974729228	T12C	Family
0.077897706186829	-0.0336564492895078	T12C	Family
0.0638031360865998	-0.056768920267443	T12C	Family
0.0877861563299493	-0.0428312662370585	T12C	Family
0.0940601182360135	-0.0553211698041458	T12C	Family
0.0929330647062567	-0.066406013567746	T12C	Family
0.161284624353412	-0.0254642289454835	T12C	Family
0.192259047330174	0.0306670203193092	T12C	Family
0.08355063666393	-0.0546055154457237	T12C	Family
0.0965752665564546	-0.0429652046055663	T12C	Family
0.146593461280816	-0.0264282884499241	T12C	Family
0.115859631370303	-0.0403888866861521	T12C	Family
0.13501101883076	-0.0209252280622349	T12C	Family
0.114948786938422	-0.0297721040555891	T12C	Family
0.155364194455279	0.132557926924184	T12C	Family
0.0979972584572774	-0.0600479296487025	T12C	Family
0.108241472780896	-0.0284238941011021	T12C	Family
0.344434298361861	0.0440422060321089	T12C	Family
-0.12582132284434	-0.00881190489500656	T12M	Family
-0.134206502326201	-0.0135738779960172	T12M	Family
-0.150134226021557	0.0338155981332366	T12M	Family
-0.0404899012689131	0.364994014166202	T12M	Family
-0.164449302597029	0.010411715085361	T12M	Family
-0.123030286065624	0.0344008960973362	T12M	Family
-0.13064845169878	0.0654744279141058	T12M	Family
-0.103302691169395	0.0920888251159891	T12M	Family
-0.147811054751911	0.0446000431950598	T12M	Family
-0.139408759791687	0.020843889172903	T12M	Family
-0.140667148487164	0.0653007454737625	T12M	Family
-0.144413938197204	0.0535109635579619	T12M	Family
-0.11140342092764	0.0361028217261142	T12M	Family
-0.117371202804341	0.0337429855688144	T12M	Family
-0.140462370935003	0.00950570529826471	T12M	Family
-0.120862545004388	-0.00178931540894542	T12M	Family
-0.114421673823939	-0.000968008704760716	T12M	Family
-0.123158475577372	0.0199366053557927	T12M	Family
-0.120540084776	-0.0292167193993227	T12M	Family
-0.150241252355123	0.000327488140690296	T12M	Family
0.157387226136545	-0.0435657901926761	T21C	Family
0.133420753656859	-0.0446760710894556	T21C	Family
0.188568964996509	-0.0477008964712747	T21C	Family
0.190297142872549	-0.0730974520065288	T21C	Family
0.136016838818204	-0.0523643282326793	T21C	Family
0.219996635034441	-0.0752579464121719	T21C	Family
0.193401672815465	-0.0557125504524865	T21C	Family
0.148299728636434	-0.0294096917844117	T21C	Family
0.141539771521445	-0.0693367065974778	T21C	Family
0.153183441089467	-0.0422145210191974	T21C	Family
0.204235264716259	-0.0178607821148727	T21C	Family
