family	family	family	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
family	family	family	230,75,53	157,128,128	85,181,204	44,175,180	8,162,143	22,131,135	50,96,135	117,106,133	204,140,128	213,152,140	161,147,166	134,158,182	140,188,189	156,176,163	192,76,71	210,10,7	165,56,41	128,100,75	152,128,104	176,156,133	179,179,179
family	family	family	f_Acidaminococcaceae	f_Bacteroidaceae	f_Clostridiaceae	f_Desulfobacteraceae	f_Desulfocapsaceae	f_Desulfovibrionaceae	f_Dethiosulfatibacteraceae	f_Flavobacteriaceae	f_Fusobacteriaceae	f_Izemoplasmataceae	f_Lachnospiraceae	f_Marinifilaceae	f_Marinilabiliaceae	f_norank_o_Actinomarinales	f_norank_o_Peptostreptococcales-Tissierellales	f_Prolixibacteraceae	f_Spirochaetaceae	f_unclassified_c_Bacteroidia	f_Vibrionaceae	f_Woeseiaceae	others
30	230,159,0	D00C	0.0622831521178614	0.0477137781636885	0.19249094890352	0.117718898732329	2.81555713911036	0.0116365493292106	0.0210170754546802	12.3463998366919	5.28549033063655	0.0299472133149394	0.0623553173729142	0.138404513748833	0.132966944609859	5.18139352752617	0.0669373520517934	0.17405291063368	0.197413121020802	0.0601251722513153	40.0668198467671	3.61222428407719	29.3770520874853
29	230,159,0	D05C	2.00039655618515	9.17183575897186	4.52155834797166	0.0831654979079913	0.749882192602509	3.96313692069973	0.507323260222227	2.80566792765314	19.0332177397126	0.0436180241946244	3.9798434241462	10.5171996548656	0.43334981211609	1.06715391508855	3.25496263196704	9.46452497228234	3.53191569693073	0.174890562335474	10.6876883133531	1.01565682962059	12.9930119611728
28	0,114,178	D05M	12.8078498702114	11.9436219377779	0.388916608184837	0.0467842854654528	0.971718237142392	0	0	4.17370095029031	23.9306498509675	0.0807649173726485	10.3873453863685	0.403248356745659	0.0415557014178654	1.25718964151044	0.0257430376444704	0.679348675335229	2.54333327611597	0.0144257952491232	18.3465014913242	1.29109638748548	10.6662055933906
27	230,159,0	D12C	0.338217569069053	2.05934471840415	2.40359018444655	7.59299783559004	1.08184413225485	3.29951698075523	9.42780883373628	2.82076457889525	8.25221592269407	0.642935214337506	0.501202777200658	9.08274994989528	4.31921864135112	0.669499591035848	10.5237566735823	1.83754687182084	4.27395263591129	5.32033367821116	1.36901292745639	0.730054128240905	23.4534361551112
26	0,114,178	D12M	9.47492222511685	12.3924439628369	1.8459106390025	0.047187134910739	1.35394776686962	0	0	5.37711629219493	23.2242058096217	1.07595051036776	12.5657131252599	0.16662538591904	0.124220717482552	1.49229978255453	0.0280496079929025	0.797232689201133	4.40937431505167	0.019309750916486	6.21960168305615	1.35771365610321	18.0281749455415
25	230,159,0	D21C	0.718500217682164	3.08546341152257	1.35909340123194	13.9358743526883	0.639854827662276	4.56169332148953	5.85821288924409	1.95667526243518	7.77914992514491	0.888243572848903	0.330814554130145	6.41285407477306	4.14333313878515	0.674642008001779	9.8641571719159	1.21017750497565	4.72930504518563	7.92889815112198	1.00887735057496	0.608206870586781	22.3059729479992
24	0,114,178	D21M	13.238609648959	11.1865667501696	1.46261259142682	0.0784826672517315	1.57460766073932	0.00616863353176814	0	6.66739654605595	18.2969462707567	3.21824993073303	8.25426525337658	0.122556553017884	0.377535435486881	2.06498223850831	0.139772730422346	0.633459205091441	7.03705356510063	0.0196850894703318	5.61803906863942	1.75801407496919	18.2449960862931
23	230,159,0	D30C	0.432644305075027	2.67381665088525	0.977860572710372	19.0790656306326	0.445112220526546	5.71595558517509	5.34682115534989	1.63117399727452	4.48127982392886	1.60142683165985	0.344688812687895	6.1638183003595	4.02552258036571	0.565504036893129	7.81379352899801	0.898670991267502	4.68598636007064	8.27262412045646	0.787534202139195	0.705207526815884	23.3514927667281
22	0,114,178	D30M	13.8347650278254	6.72418675243992	1.70935030629863	0.0565441996849235	0.979455398287871	0	0	5.82146808463915	21.342285015808	4.89296314976738	8.89499154167111	0.312677144072283	0.140297253236418	1.64535506720833	0.709295155558653	0.47115468881551	6.64307363359864	0.0325236687809163	4.32311354780465	1.49077583301518	19.975724531487
