Bins	Phylum	abundace	Hos	DL
Bin115	Other	0.0320163943570209	-0.00045865451605358	0.00811194101347965
Bin116	Other	0.025366429996519	0.0021728469371408	0.0132203122071926
Bin117	Other	0.0827782571385815	0.00723977057180756	0.0014668650625326
Bin118	Other	0.0288682087988295	0.000519204075089175	-0.0126331812116471
Bin119	Planctomycetota	0.0569820504084855	-0.0130289685820764	0.0178726097970151
Bin120	Planctomycetota	0.0684497814703473	0.0134588991832712	0.021866304637739
Bin121	Planctomycetota	0.0177913043508849	-0.000106988167596004	-0.00703357916101272
Bin122	Verrucomicrobiota	0.0301669117913574	-0.000364942721165204	-0.0269163363820689
Bin123	Verrucomicrobiota	0.0239352884726075	0.000606511619043816	-0.000389996619921013
Bin124	Verrucomicrobiota	0.01196040375407	-0.000549707186436876	0.000920586458438242
Bin125	Verrucomicrobiota	0.0492486824586839	-0.000307717959867946	0.0121846389525845
Bin126	Verrucomicrobiota	0.0595181239112398	0.00141481009510699	-0.0995566240065573
Bin127	Cyanobacteria	0.158121540737032	-0.0671392232024403	0.00757338424120881
Bin128	Other	0.0278511564950001	-0.00211919428363532	0.0267306536496026
Bin129	Other	0.560700923019048	-0.755065592060016	-0.147971766157308
Bin130	Other	0.0555645550997979	0.00441832022418022	0.0141932238665657
Bin131	Other	0.159075739308722	-0.000303101689058933	0.0448176810556008
Bin132	Other	0.0779425964033037	0.0150181273964042	0.0160385153229796
Bin133	Other	0.061604706191284	0.0026514024629754	0.0326390849442402
Bin134	Other	0.0944855704414932	-0.0163564924800443	-0.0683572502848936
